ticker,name,nav,navUnit,navChange,navChange1w,navChange1m,navChange3m,navChange6m,navChange9m,navChangeYtd,navChange1y
513090,易基香港证券,1.3238,人民币,1.49%,1.74%,7.53%,1.48%,5.57%,4.46%,5.30%,2.70%
512810,华宝国防军工,1.4682,人民币,-0.11%,-1.69%,8.45%,16.00%,15.21%,18.91%,9.08%,19.54%
512560,易方达军工ETF,1.5679,人民币,-0.12%,-1.59%,7.59%,13.02%,11.04%,13.12%,5.20%,15.01%
512660,国泰军工ETF,1.3468,人民币,-0.16%,-1.97%,8.41%,13.92%,10.51%,12.67%,3.68%,11.09%
512680,广发军工基金,1.3762,人民币,-0.16%,-1.86%,8.24%,13.62%,10.39%,12.50%,3.60%,11.11%
512350,兴业中证福建50ETF,1.1426,人民币,0.34%,-3.19%,-1.59%,-1.95%,2.79%,8.42%,4.34%,11.57%
512870,杭州湾区ETF,1.8993,人民币,0.08%,-1.16%,-0.12%,-1.33%,-0.01%,4.93%,2.85%,5.37%
512330,南方500信息ETF,1.105,人民币,-0.65%,-2.50%,-5.29%,7.12%,8.77%,-0.40%,6.13%,-9.53%
159897,建信物联ETF,1.0308,人民币,-1.45%,-3.57%,-6.32%,--,--,--,--,--
516330,华泰物联网ETF,1.1499,人民币,-1.29%,-3.12%,-4.89%,3.61%,--,--,--,--
516260,华夏物联网50,0.9508,人民币,-1.60%,-3.83%,-6.60%,--,--,--,--,--
159951,嘉实中关村A股,1.0092,人民币,-0.28%,-1.53%,-1.11%,0.39%,0.02%,0.70%,2.59%,-5.28%
159997,天弘中证电子ETF,1.2939,人民币,-1.47%,-3.69%,-7.26%,3.01%,2.59%,3.25%,3.32%,2.17%
517360,华安AH科技ETF,0.9732,人民币,0.33%,-0.25%,0.98%,--,--,--,--,--
515750,富国科技50,1.5465,人民币,-0.43%,-2.21%,-2.53%,0.88%,1.62%,4.11%,2.02%,-0.05%
159803,易基浙江ETF,1.3043,人民币,0.79%,-0.16%,-0.67%,-2.66%,-4.10%,2.66%,0.08%,1.63%
515200,申万创新100ETF,2.0535,人民币,-0.52%,-1.69%,-2.63%,0.84%,2.50%,9.94%,3.90%,11.55%
159987,银华研发100ETF,1.7483,人民币,-0.61%,-1.94%,-3.33%,0.01%,1.65%,9.27%,3.04%,9.79%
515250,富国智能汽车,1.0266,人民币,-1.11%,-2.46%,-3.37%,4.21%,3.47%,--,2.09%,--
159888,华夏智能车,1.1305,人民币,-0.97%,-2.15%,-2.51%,5.26%,--,--,--,--
516520,华泰智能车ETF,1.0499,人民币,-1.07%,-2.32%,-3.10%,5.30%,5.19%,--,--,--
159721,永赢深创ETF,0.9613,人民币,-0.94%,-3.88%,-4.61%,--,--,--,--,--
159716,华宝深创100,0.9654,人民币,-1.08%,-3.91%,-4.27%,--,--,--,--,--
159939,广发信息技术ETF,1.4169,人民币,-0.74%,-2.92%,-4.91%,2.28%,2.50%,-0.80%,1.15%,-5.62%
512930,平安人工智能ETF,1.5893,人民币,-1.09%,-2.42%,-2.95%,1.84%,3.71%,1.91%,3.99%,-2.26%
515070,华夏AI智能ETF,1.2294,人民币,-1.46%,-3.20%,-4.29%,0.75%,2.03%,-1.06%,1.90%,-6.85%
159819,易基AI智能,0.961,人民币,-1.86%,-4.05%,-5.52%,0.41%,1.72%,-2.14%,1.54%,-4.05%
159702,添富中证AIETF,1.0802,人民币,-1.66%,-3.93%,-5.47%,-0.94%,--,--,--,--
515500,海富长三角LX,1.1281,人民币,0.53%,1.05%,4.10%,-2.25%,2.81%,6.97%,7.91%,11.26%
510060,工银上证指数,2.1322,人民币,0.41%,1.23%,4.24%,-1.09%,-0.90%,0.21%,1.29%,2.78%
517380,天弘创新药AH,0.8932,人民币,0.00%,-3.31%,-12.01%,--,--,--,--,--
159872,鹏华车联网,0.9447,人民币,-0.67%,-5.35%,-4.08%,--,--,--,--,--
515760,华夏浙江国资ETF,1.1176,人民币,1.05%,-1.24%,2.94%,-7.32%,-0.58%,4.84%,5.55%,--
159859,天弘生物医药ETF,0.9103,人民币,-5.01%,-5.23%,-11.10%,--,--,--,--,--
159839,添富生物药ETF,0.8778,人民币,-5.10%,-5.64%,-12.43%,-19.64%,-2.75%,--,--,--
515260,中证电子50ETF,1.0228,人民币,-1.98%,-4.31%,-8.62%,2.80%,1.59%,1.61%,1.84%,0.58%
515320,华安电子50ETF,0.9911,人民币,-2.04%,-4.34%,-8.75%,2.63%,1.72%,-0.91%,-1.80%,--
159993,鹏华证券龙头ETF,1.2426,人民币,1.47%,1.86%,12.02%,4.81%,8.47%,-2.74%,0.60%,-1.92%
159851,华宝金科ETF,1.1286,人民币,-0.03%,-1.14%,-1.03%,-1.15%,--,--,--,--
516100,华夏金融科技ETF,0.9207,人民币,-0.04%,-1.30%,-1.03%,--,--,--,--,--
159909,招商深TMT,0.7537,人民币,-1.34%,-4.59%,-5.31%,-2.28%,-0.70%,6.06%,2.67%,3.44%
515860,嘉实科技100ETF,1.4655,人民币,-0.72%,-1.67%,-3.16%,-3.02%,0.20%,2.04%,0.45%,-3.16%
516980,华富证券先锋ETF,1.1225,人民币,1.52%,2.03%,14.29%,--,--,--,--,--
517120,华泰创新药50,0.8723,人民币,-2.63%,-1.94%,-6.61%,--,--,--,--,--
512650,中证长三角ETF,1.2607,人民币,0.07%,-0.75%,-0.07%,-3.96%,-1.83%,1.66%,0.01%,2.52%
512730,鹏华银行ETF,1.1603,人民币,0.84%,0.78%,4.67%,-6.16%,-2.60%,0.36%,5.11%,12.01%
515020,华夏银行ETF,1.1804,人民币,0.81%,0.68%,4.43%,-6.14%,-2.88%,-0.12%,4.46%,11.06%
512700,南方银行基金,1.2165,人民币,0.81%,0.72%,4.29%,-7.47%,-5.18%,-3.12%,1.58%,6.96%
515280,富国银行ETF,1.195,人民币,0.80%,0.70%,4.13%,-7.92%,-5.68%,-3.24%,1.16%,6.54%
515290,天弘银行ETF,1.0221,人民币,0.96%,0.84%,4.98%,-9.29%,-6.85%,--,1.14%,--
159887,富国银行ETF,0.9371,人民币,1.07%,1.01%,6.25%,-7.96%,--,--,--,--
159732,华夏消费电子,0.9668,人民币,0.00%,-3.65%,--,--,--,--,--,--
515920,博时智能消费,0.938,人民币,-1.74%,-3.77%,-5.11%,-3.04%,-0.70%,--,-6.65%,--
515980,华富人工智能ETF,1.1171,人民币,-1.89%,-3.06%,-6.22%,-1.45%,0.43%,-2.14%,0.53%,-9.09%
515880,国泰通信ETF,1.0195,人民币,-0.54%,-2.82%,-2.59%,4.95%,-1.24%,-8.97%,-2.51%,-18.97%
512220,景顺科技150,1.7604,人民币,-0.80%,-2.24%,-3.65%,0.38%,0.34%,-0.44%,0.80%,-2.85%
515120,广发创新药ETF,0.9923,人民币,-3.37%,-3.30%,-6.45%,-15.35%,-5.16%,--,-3.39%,--
159992,银华创新药ETF,1.338,人民币,-2.45%,-2.39%,-4.72%,-11.43%,-4.12%,3.92%,-2.89%,-5.64%
159835,建信创新药业,1.0391,人民币,-3.06%,-3.13%,-6.23%,-14.56%,--,--,--,--
159858,南方创新药指,1.0242,人民币,-3.28%,-3.21%,-6.40%,-15.08%,--,--,--,--
516060,工银新药ETF,0.9143,人民币,-3.57%,-3.52%,-6.97%,-16.48%,-5.44%,--,--,--
516080,易基医药ETF,0.9355,人民币,-3.44%,-3.35%,-5.75%,-13.50%,-1.57%,--,--,--
515850,富国证券公司ETF,1.3993,人民币,1.26%,1.75%,10.98%,5.25%,9.26%,-0.66%,1.31%,-0.08%
515010,华夏中证证券ETF,1.3109,人民币,1.30%,1.81%,10.82%,4.29%,7.61%,-3.31%,-1.01%,-2.62%
515560,建信证券ETF,1.0506,人民币,1.63%,2.23%,13.28%,4.39%,8.13%,-5.70%,-2.67%,-5.47%
512570,易基中证证券ETF,1.1565,人民币,1.47%,2.07%,11.98%,3.75%,7.07%,-5.45%,-2.92%,-4.19%
512720,国泰计算机ETF,1.3839,人民币,-0.72%,-2.88%,-3.13%,-3.36%,-0.88%,-1.60%,-1.84%,-8.18%
159998,天弘计算主题ETF,1.0537,人民币,-0.99%,-3.81%,-4.42%,-5.23%,-2.51%,-3.85%,-4.13%,-12.49%
515050,华夏5G通信ETF,1.124,人民币,-1.08%,-4.26%,-7.44%,2.00%,-1.80%,-8.23%,-4.84%,-12.96%
159994,银华5G通信主题ETF,0.9259,人民币,-1.30%,-5.13%,-9.02%,2.13%,-2.54%,-10.56%,-6.24%,-16.20%
159811,博时5G50ETF,1.1246,人民币,-1.45%,-2.38%,-6.29%,2.22%,-1.02%,-4.89%,-1.70%,-7.48%
516700,华宝数据产业,1.033,人民币,-0.76%,-3.28%,-2.73%,-2.38%,--,--,--,--
516000,华夏大数据ETF,1.0066,人民币,-0.72%,-3.25%,-2.01%,0.28%,2.75%,--,--,--
515400,富国大数据ETF,0.9583,人民币,-0.79%,-3.67%,-2.21%,-1.61%,0.30%,--,--,--
159735,港股消费ETF,0.9331,人民币,0.17%,3.97%,6.08%,-7.09%,--,--,--,--
513590,鹏华香港消费,1.0229,人民币,0.00%,3.57%,--,--,--,--,--,--
159936,可选消费ETF,1.9539,人民币,0.03%,-0.99%,1.77%,-2.42%,-1.70%,-0.82%,-1.02%,3.71%
510110,海富上证周期,4.107,人民币,0.27%,0.50%,1.66%,-1.06%,-1.91%,-1.68%,-0.83%,0.58%
159852,嘉实软件ETF,1.0115,人民币,-1.07%,-4.81%,-4.48%,-5.99%,1.08%,--,--,--
159766,富国中证旅游ETF,0.9515,人民币,-0.66%,2.66%,13.78%,--,--,--,--,--
510120,海富非周ETF,4.247,人民币,-0.02%,-0.13%,-0.16%,-1.76%,-1.98%,0.68%,-1.30%,0.57%
